neighborhood,geometry,crime_count,park_count,park_ratings,average_park_rating
Ballard,"0    POLYGON ((-122.40266 47.69602, -122.40236 47.6...
dtype: geometry",43367,16,"{'4': 4, '5': 8, '1': 1, '3': 1, '6': 2}",4.5
Beacon Hill,"0    POLYGON ((-122.31281 47.59581, -122.31216 47.5...
dtype: geometry",39616,19,"{'5': 2, '6': 3, '4': 10, '3': 3, '2': 1}",4.157894736842105
Capitol Hill,"0    MULTIPOLYGON (((-122.29599 47.64184, -122.2960...
dtype: geometry",68598,27,"{'5': 12, '3': 6, '4': 4, '6': 3, '2': 1, '1': 1}",4.2592592592592595
Cascade,"0    POLYGON ((-122.32124 47.65231, -122.32113 47.6...
dtype: geometry",29103,8,"{'4': 4, '5': 3, '3': 1}",4.25
Central Area,"0    POLYGON ((-122.27911 47.62786, -122.27915 47.6...
dtype: geometry",46511,38,"{'6': 2, '5': 18, '4': 14, '2': 1, '3': 3}",4.447368421052632
Delridge,"0    POLYGON ((-122.35272 47.56439, -122.35253 47.5...
dtype: geometry",43869,35,"{'5': 13, '6': 2, '4': 12, '2': 2, '3': 5, '1': 1}",4.142857142857143
Downtown,"0    POLYGON ((-122.32929 47.59240, -122.32969 47.5...
dtype: geometry",200299,24,"{'3': 1, '5': 8, '6': 10, '4': 5}",5.125
Interbay,"0    POLYGON ((-122.39728 47.66505, -122.39731 47.6...
dtype: geometry",4247,6,"{'3': 2, '4': 1, '5': 2, '6': 1}",4.333333333333333
Lake City,"0    POLYGON ((-122.28403 47.73358, -122.28403 47.7...
dtype: geometry",28462,10,"{'5': 2, '4': 4, '6': 2, '3': 1, '2': 1}",4.3
Magnolia,"0    POLYGON ((-122.40893 47.67149, -122.40886 47.6...
dtype: geometry",11188,12,"{'3': 7, '4': 3, '6': 1, '5': 1}",3.6666666666666665
Greater Duwamish,"0    MULTIPOLYGON (((-122.34811 47.55931, -122.3480...
dtype: geometry",40032,16,"{'5': 8, '4': 4, '3': 3, '6': 1}",4.4375
Northeast,"0    POLYGON ((-122.31190 47.67206, -122.31191 47.6...
dtype: geometry",37892,15,"{'5': 5, '4': 3, '3': 4, '2': 2, '1': 1}",3.6
Northgate,"0    POLYGON ((-122.30670 47.69134, -122.30782 47.6...
dtype: geometry",54007,16,"{'4': 6, '5': 7, '3': 2, '2': 1}",4.1875
Queen Anne,"0    POLYGON ((-122.37391 47.65711, -122.37378 47.6...
dtype: geometry",44448,27,"{'2': 1, '4': 5, '6': 3, '3': 3, '5': 15}",4.592592592592593
Rainier Valley,"0    POLYGON ((-122.28794 47.59113, -122.28700 47.5...
dtype: geometry",60359,44,"{'5': 17, '6': 6, '4': 11, '3': 7, '2': 3}",4.363636363636363
Seward Park,"0    POLYGON ((-122.27263 47.54604, -122.27264 47.5...
dtype: geometry",5791,4,"{'4': 2, '1': 1, '3': 1}",3.0
West Seattle,"0    POLYGON ((-122.38713 47.59525, -122.38710 47.5...
dtype: geometry",41032,31,"{'5': 11, '2': 1, '4': 8, '6': 4, '3': 6, '1': 1}",4.258064516129032
Northwest,"0    POLYGON ((-122.34453 47.69056, -122.34449 47.6...
dtype: geometry",46130,13,"{'6': 3, '4': 6, '3': 2, '1': 1, '5': 1}",4.153846153846154
North Central,"0    POLYGON ((-122.32907 47.69010, -122.32906 47.6...
dtype: geometry",56874,19,"{'5': 6, '4': 6, '2': 1, '1': 2, '6': 2, '3': 2}",4.0
University District,"0    POLYGON ((-122.30784 47.67097, -122.30661 47.6...
dtype: geometry",38888,15,"{'4': 3, '2': 1, '5': 8, '3': 1, '1': 1, '6': 1}",4.266666666666667
